Codigo_IBGE,Codigo_SIAFI,Estado,Cidade
110001,0033,RO,Alta Floresta D'Oeste
110002,0007,RO,Ariquemes
110003,0037,RO,Cabixi
110004,0009,RO,Cacoal
110005,0027,RO,Cerejeiras
110006,0023,RO,Colorado do Oeste
110007,0981,RO,Corumbiara
110008,1021,RO,Costa Marques
110009,0025,RO,Espigão D'Oeste
110010,0001,RO,Guajará-Mirim
110011,0015,RO,Jaru
110012,0005,RO,Ji-Paraná
110013,1039,RO,Machadinho D'Oeste
110014,0041,RO,Nova Brasilândia D'Oeste
110015,0017,RO,Ouro Preto do Oeste
110018,0011,RO,Pimenta Bueno
110020,0003,RO,Porto Velho
110025,0019,RO,Presidente Médici
110026,0687,RO,Rio Crespo
110028,0029,RO,Rolim de Moura
110029,0043,RO,Santa Luzia D'Oeste
110030,0013,RO,Vilhena
110032,1045,RO,São Miguel do Guaporé
110033,0047,RO,Nova Mamoré
110034,0035,RO,Alvorada D'Oeste
110037,0002,RO,Alto Alegre dos Parecis
110040,0675,RO,Alto Paraíso
110045,0004,RO,Buritis
110050,0689,RO,Novo Horizonte do Oeste
110060,0677,RO,Cacaulândia
110070,1679,RO,Campo Novo de Rondônia
110080,0681,RO,Candeias do Jamari
110090,0691,RO,Castanheiras
110092,0006,RO,Chupinguaia
110094,1008,RO,Cujubim
110100,0693,RO,Governador Jorge Teixeira
110110,0683,RO,Itapuã do Oeste
110120,0695,RO,Ministro Andreazza
110130,0697,RO,Mirante da Serra
110140,0685,RO,Monte Negro
110143,0010,RO,Nova União
110145,1012,RO,Parecis
110146,0014,RO,Pimenteiras do Oeste
110147,0016,RO,Primavera de Rondônia
110148,0018,RO,São Felipe D'Oeste
110149,0020,RO,São Francisco do Guaporé
110150,1699,RO,Seringueiras
110155,0022,RO,Teixeirópolis
110160,0975,RO,Theobroma
110170,0977,RO,Urupá
110175,0024,RO,Vale do Anari
110180,0979,RO,Vale do Paraíso
120001,0643,AC,Acrelândia
120005,0157,AC,Assis Brasil
120010,0105,AC,Brasiléia
120013,0645,AC,Bujari
120017,0647,AC,Capixaba
120020,0107,AC,Cruzeiro do Sul
120025,0651,AC,Epitaciolândia
120030,0113,AC,Feijó
120032,0653,AC,Jordão
120033,0109,AC,Mâncio Lima
120034,0155,AC,Manoel Urbano
120035,0655,AC,Marechal Thaumaturgo
120038,0151,AC,Plácido de Castro
120039,0657,AC,Porto Walter
120040,0139,AC,Rio Branco
120042,0659,AC,Rodrigues Alves
120043,0661,AC,Santa Rosa do Purus
120045,1153,AC,Senador Guiomard
120050,1145,AC,Sena Madureira
120060,0147,AC,Tarauacá
120070,0149,AC,Xapuri
120080,0649,AC,Porto Acre
130002,0289,AM,Alvarães
130006,1291,AM,Amaturá
130008,0293,AM,Anamã
130010,0203,AM,Anori
130014,0969,AM,Apuí
130020,0205,AM,Atalaia do Norte
130030,1207,AM,Autazes
130040,0209,AM,Barcelos
130050,0211,AM,Barreirinha
130060,0213,AM,Benjamin Constant
130063,0295,AM,Beruri
130068,1297,AM,Boa Vista do Ramos
130070,0215,AM,Boca do Acre
130080,0217,AM,Borba
130083,0299,AM,Caapiranga
130090,0219,AM,Canutama
130100,0221,AM,Carauari
130110,1223,AM,Careiro
130115,0965,AM,Careiro da Várzea
130120,0225,AM,Coari
130130,0227,AM,Codajás
130140,0229,AM,Eirunepé
130150,0231,AM,Envira
130160,0233,AM,Fonte Boa
130165,0967,AM,Guajará
130170,0235,AM,Humaitá
130180,0239,AM,Ipixuna
130185,9835,AM,Iranduba
130190,0241,AM,Itacoatiara
130195,9837,AM,Itamarati
130200,0243,AM,Itapiranga
130210,0245,AM,Japurá
130220,0247,AM,Juruá
130230,0249,AM,Jutaí
130240,0251,AM,Lábrea
130250,0253,AM,Manacapuru
130255,9839,AM,Manaquiri
130260,0255,AM,Manaus
130270,0257,AM,Manicoré
130280,0259,AM,Maraã
130290,1261,AM,Maués
130300,0263,AM,Nhamundá
130310,0265,AM,Nova Olinda do Norte
130320,0201,AM,Novo Airão
130330,0267,AM,Novo Aripuanã
130340,0269,AM,Parintins
130350,0271,AM,Pauini
130353,9841,AM,Presidente Figueiredo
130356,9843,AM,Rio Preto da Eva
130360,0237,AM,Santa Isabel do Rio Negro
130370,1273,AM,Santo Antônio do Içá
130380,0283,AM,São Gabriel da Cachoeira
130390,0275,AM,São Paulo de Olivença
130395,9845,AM,São Sebastião do Uatumã
130400,0277,AM,Silves
130406,9847,AM,Tabatinga
130410,0279,AM,Tapauá
130420,0281,AM,Tefé
130423,9851,AM,Tonantins
130426,9849,AM,Uarini
130430,0285,AM,Urucará
130440,0287,AM,Urucurituba
140002,0026,RR,Amajari
140005,1305,RR,Alto Alegre
140010,1301,RR,Boa Vista
140015,0307,RR,Bonfim
140017,0028,RR,Cantá
140020,0303,RR,Caracaraí
140023,0030,RR,Caroebe
140028,0032,RR,Iracema
140030,0309,RR,Mucajaí
140040,0311,RR,Normandia
140045,0034,RR,Pacaraima
140047,0036,RR,Rorainópolis
140050,0313,RR,São João da Baliza
140060,0315,RR,São Luiz
140070,0038,RR,Uiramutã
150010,0401,PA,Abaetetuba
150013,0375,PA,Abel Figueiredo
150020,0403,PA,Acará
150030,0405,PA,Afuá
150034,0383,PA,Água Azul do Norte
150040,0407,PA,Alenquer
150050,0409,PA,Almeirim
150060,0411,PA,Altamira
150070,0413,PA,Anajás
150080,1415,PA,Ananindeua
150085,0040,PA,Anapu
150090,0417,PA,Augusto Corrêa
150095,0389,PA,Aurora do Pará
150100,0419,PA,Aveiro
150110,0421,PA,Bagre
150120,0423,PA,Baião
150125,0042,PA,Bannach
150130,0425,PA,Barcarena
150140,0427,PA,Belém
150145,0044,PA,Belterra
150150,0429,PA,Benevides
150157,0575,PA,Bom Jesus do Tocantins
150160,1431,PA,Bonito
150170,0433,PA,Bragança
150172,0639,PA,Brasil Novo
150175,0577,PA,Brejo Grande do Araguaia
150178,0625,PA,Breu Branco
150180,0435,PA,Breves
150190,0437,PA,Bujaru
150195,0046,PA,Cachoeira do Piriá
150200,0439,PA,Cachoeira do Arari
150210,0441,PA,Cametá
150215,0048,PA,Canaã dos Carajás
150220,0443,PA,Capanema
150230,0445,PA,Capitão Poço
150240,1447,PA,Castanhal
150250,0449,PA,Chaves
150260,0451,PA,Colares
150270,0453,PA,Conceição do Araguaia
150275,0579,PA,Concórdia do Pará
